First name,Last name,Display name,User logon name,Company,City,Department,OU,Service,Groupe,Job Title,Manager - prenom,Manager - nom,managerDN,PC,PC2,Date de naissance,Telephone number,Mobile,Nomadisme
Louis,Laurent,Louis Laurent,LLaurent,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,ADV,ADV,Responsable ADV,Sarah,Durand,Sarah Durand,P0572,SALES572,05/08/1976,0423456789,0668251481,non
Nicolas,Bertrand,Nicolas Bertrand,NBertrand,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,ADV,ADV,Gestionnaire ADV,Louis,Laurent,Louis Laurent,P0180,SALES180,30/05/1991,0476543210,0785401077,non
Thomas,Girard,Thomas Girard,TGirard,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,ADV,ADV,Gestionnaire ADV,Louis,Laurent,Louis Laurent,P0456,SALES456,10/04/1977,0412345678,0718755210,non
Alice,Martin,Alice Martin,AMartin,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,B2B,B2B,Commercial,Elena,Robert,Elena Robert,P0086,SALES086,04/05/1989,0456789012,0792624936,oui
Andréa,Marton,Andréa Marton,AMarton,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,B2B,B2B,Commercial,Elena,Robert,Elena Robert,P0182,SALES182,22/12/1995,0445678901,0685410356,oui
Clara,Dubois,Clara Dubois,CDubois,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,B2B,B2B,Commercial,Elena,Robert,Elena Robert,P0053,SALES053,30/03/1991,0476543210,0611551242,oui
David,Thomas,David Thomas,DThomas,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,B2B,B2B,Commercial,Elena,Robert,Elena Robert,P0606,SALES606,30/12/1989,0467890123,0611737329,oui
Èsteban,Lomez,Èsteban Lomez,ÈLomez,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,B2B,B2B,Commercial,Elena,Robert,Elena Robert,P0369,SALES369,30/08/1976,0423456789,0778840637,oui
Elena,Robert,Elena Robert,ERobert,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,B2B,B2B,Responsable B2B,Sarah,Durand,Sarah Durand,P0188,SALES188,06/01/1990,0487654321,0635656037,oui
Jessy,Lair,Jessy Lair,JLair,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,B2B,B2B,Commercial,Elena,Robert,Elena Robert,P0077,SALES077,16/04/1971,0440987654,0633376803,oui
Jeremy,Lorrain,Jeremy Lorrain,JLorrain,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,B2B,B2B,Commercial,Elena,Robert,Elena Robert,P0186,SALES186,05/04/1979,0412345678,0788960245,oui
Laura,David,Laura David,LDavid,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,B2B,B2B,Commercial,Elena,Robert,Elena Robert,P0707,SALES707,22/03/1971,0440987654,0791275326,oui
Libou,Khamin,Libou Khamin,LKhamin,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,B2B,B2B,Commercial,Elena,Robert,Elena Robert,P0099,SALES099,16/08/1989,0432109876,0698556201,oui
Léa,Michel,Léa Michel,LMichel,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,B2B,B2B,Commercial,Elena,Robert,Elena Robert,P0390,SALES390,28/08/1979,0434567890,0612044334,oui
Théo,Laurent,Théo Laurent,TLaurent,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,B2B,B2B,Commercial,Elena,Robert,Elena Robert,P0528,SALES528,28/05/1988,0421098765,0754982135,oui
Fabien,Richard,Fabien Richard,FRichard,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,B2C,B2C,Commercial,Karine,Simon,Karine Simon,P0241,SALES241,25/01/1994,0412345678,0625993239,oui
Gabrielle,Petit,Gabrielle Petit,GPetit,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,B2C,B2C,Commercial,Karine,Simon,Karine Simon,P0659,SALES659,08/06/1984,0476543210,0752201129,oui
Hugo,Durand,Hugo Durand,HDurand,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,B2C,B2C,Commercial,Karine,Simon,Karine Simon,P0524,SALES524,13/01/1974,0445678901,0676900215,oui
Isabelle,Leroy,Isabelle Leroy,ILeroy,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,B2C,B2C,Commercial,Karine,Simon,Karine Simon,P0408,SALES408,11/07/1982,0412345678,0635913014,oui
Jérôme,Moreau,Jérôme Moreau,JMoreau,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,B2C,B2C,Commercial,Karine,Simon,Karine Simon,P0775,SALES775,15/02/1981,0445678901,0743570154,oui
Karine,Simon,Karine Simon,KSimon,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,B2C,B2C,Responsable B2C,Sarah,Durand,Sarah Durand,P0031,SALES031,09/08/1998,0421098765,0615375578,oui
Alexandre,Roux,Alexandre Roux,ARoux,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,Service Client,Clients,Responsable Service Client,Sarah,Durand,Sarah Durand,P0451,SALES451,05/09/1993,0421098765,0730476005,non
Marie,Leroux,Marie Leroux,MLeroux,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,Service Client,Clients,Agent Client,Alexandre,Roux,Alexandre Roux,P0291,SALES291,06/06/1981,0456789012,0686781565,non
Mathieu,Morel,Mathieu Morel,MMorel,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,Service Client,Clients,Agent Client,Alexandre,Roux,Alexandre Roux,P0425,SALES425,15/05/1987,0412345678,0764889123,non
Manon,Vincent,Manon Vincent,MVincent,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,Service Client,Clients,Agent Client,Alexandre,Roux,Alexandre Roux,P0243,SALES243,13/04/1974,0440987654,0749174856,non
Raphaël,Lefebvre,Raphaël Lefebvre,RLefebvre,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,Service Client,Clients,Agent Client,Alexandre,Roux,Alexandre Roux,P0019,SALES019,03/02/1973,0467890123,0681608883,non
Estelle,Dubois,Estelle Dubois,EDubois,Pharmgreen,Lyon,Direction Financière,DF,Service Comptabilité,Compta,Comptable,Aurélie,Petit,Aurélie Petit,P0738,DF738,24/01/1985,0456789012,-,non
Mathieu,Roux,Mathieu Roux,MRoux,Pharmgreen,Lyon,Direction Financière,DF,Service Comptabilité,Compta,Comptable,Aurélie,Petit,Aurélie Petit,P0342,DF342,22/07/1998,0487654321,-,non
Romain,Gauthier,Romain Gauthier,RGauthier,Pharmgreen,Lyon,Direction Financière,DF,Service Comptabilité,Compta,Comptable,Aurélie,Petit,Aurélie Petit,P0041,DF041,03/01/1984,0421098765,-,non
Nathalie,Nicolas,Nathalie Nicolas,NNicolas,Pharmgreen,Lyon,Service Juridique,LEGAL,Contentieux,Contentieux,Juriste,Sophie,Clement,Sophie Clement,P0654,LEGAL654,14/07/1974,0421098765,-,non
Oscar,Perrin,Oscar Perrin,OPerrin,Pharmgreen,Lyon,Service Juridique,LEGAL,Contentieux,Contentieux,Juriste,Sophie,Clement,Sophie Clement,P0588,LEGAL588,04/08/1998,0487654321,-,non
Patricia,Morin,Patricia Morin,PMorin,Pharmgreen,Lyon,Service Juridique,LEGAL,Contentieux,Contentieux,Juriste,Sophie,Clement,Sophie Clement,P0557,LEGAL557,07/09/1981,0412345678,-,non
Romain,Mathieu,Romain Mathieu,RMathieu,Pharmgreen,Lyon,Service Juridique,LEGAL,Contentieux,Contentieux,Juriste,Sophie,Clement,Sophie Clement,P0618,LEGAL618,18/04/1982,0445678901,-,non
Sophie,Clement,Sophie Clement,SClement,Pharmgreen,Lyon,Service Juridique,LEGAL,Contrats,Contrats,Responsable Juridique,Gilles,Faure,Gilles Faure,P0198,LEGAL198,15/06/1998,0476543210,0773550482,non
Thomas,Gauthier,Thomas Gauthier,TGauthier,Pharmgreen,Lyon,Service Juridique,LEGAL,Contrats,Contrats,Juriste,Sophie,Clement,Sophie Clement,P0491,LEGAL491,15/02/1994,0434567890,-,non
Ugo,Dumont,Ugo Dumont,UDumont,Pharmgreen,Lyon,Service Juridique,LEGAL,Contrats,Contrats,Juriste,Sophie,Clement,Sophie Clement,P0368,LEGAL368,22/05/1976,0423456789,-,non
Véronique,Lopez,Véronique Lopez,VLopez,Pharmgreen,Lyon,Service Juridique,LEGAL,Contrats,Contrats,Juriste,Sophie,Clement,Sophie Clement,P0175,LEGAL175,28/02/1974,0434567890,-,non
Anaïs,Fontaine,Anaïs Fontaine,AFontaine,Pharmgreen,Lyon,Direction Financière,DF,Contrôle de Gestion,Controle,Contrôleur de gestion,Aurélie,Petit,Aurélie Petit,P0482,DF482,02/01/1996,0445678901,-,non
Eva,Meyer,Eva Meyer,EMeyer,Pharmgreen,Lyon,Direction Financière,DF,Contrôle de Gestion,Controle,Contrôleur de gestion,Aurélie,Petit,Aurélie Petit,P0117,DF117,03/04/1990,0434567890,-,non
Louis,Dupont,Louis Dupont,LDupont,Pharmgreen,Lyon,Direction Financière,DF,Contrôle de Gestion,Controle,Contrôleur de gestion,Aurélie,Petit,Aurélie Petit,P0215,DF215,10/09/1989,0423456789,-,non
Quentin,Blanchard,Quentin Blanchard,QBlanchard,Pharmgreen,Lyon,Direction Financière,DF,Contrôle de Gestion,Controle,Contrôleur de gestion,Aurélie,Petit,Aurélie Petit,P0036,DF036,01/09/1982,0487654321,-,non
Zoé,Dupuis,Zoé Dupuis,ZDupuis,Pharmgreen,Lyon,Direction Financière,DF,Contrôle de Gestion,Controle,Contrôleur de gestion,Aurélie,Petit,Aurélie Petit,P0223,DF223,30/10/1972,0434567890,-,non
Hassan,Liffite,Hassan Liffite,HLiffite,Pharmgreen,Lyon,Systèmes d'Information,DSI,Data,Data,Data scientist,Tina,Le Hecourt,Tina Le Hecourt,P0267,DSI267,13/09/1995,0467890123,-,non
Pierre,David,Pierre David,PDavid,Pharmgreen,Lyon,Systèmes d'Information,DSI,Data,Data,Data scientist,Tina,Le Hecourt,Tina Le Hecourt,P0357,DSI357,23/12/1989,0456789012,-,non
Rosalie,Roux,Rosalie Roux,RRoux,Pharmgreen,Lyon,Systèmes d'Information,DSI,Data,Data,Data scientist,Tina,Le Hecourt,Tina Le Hecourt,P0277,DSI277,20/12/1997,0456789012,-,non
Béatrice,Bonnet,Béatrice Bonnet,BBonnet,Pharmgreen,Lyon,Systèmes d'Information,DSI,Développement logiciel,Dev,Développeur,Tina,Le Hecourt,Tina Le Hecourt,P0249,DSI249,20/10/1999,0421098765,-,non
Cyril,François,Cyril François,CFrançois,Pharmgreen,Lyon,Systèmes d'Information,DSI,Développement logiciel,Dev,Développeur,Tina,Le Hecourt,Tina Le Hecourt,P0124,DSI124,31/01/1989,0487654321,-,non
Rémi,Deschamps,Rémi Deschamps,RDeschamps,Pharmgreen,Lyon,Direction Marketing,DM,Marketing Digital,Digital,Community manager,Sylvie,Charpentier,Sylvie Charpentier,P0399,DM399,25/02/1975,0456789012,0777610318,non
Sylvie,Charpentier,Sylvie Charpentier,SCharpentier,Pharmgreen,Lyon,Direction Marketing,DM,Marketing Digital,Digital,Responsable marketing digital,Brigitte,Lucas,Brigitte Lucas,P0224,DM224,13/04/1971,0445678901,0609992482,non
Tristan,Marie,Tristan Marie,TMarie,Pharmgreen,Lyon,Direction Marketing,DM,Marketing Digital,Digital,Analyste web,Sylvie,Charpentier,Sylvie Charpentier,P0523,DM523,24/07/1975,0445678901,0648458518,non
Ulrich,Da Silva,Ulrich Da Silva,UDa Silva,Pharmgreen,Lyon,Direction Marketing,DM,Marketing Digital,Digital,Content manager,Sylvie,Charpentier,Sylvie Charpentier,P0764,DM764,24/06/1970,0423456789,0760489146,non
Aurélie,Petit,Aurélie Petit,APetit,Pharmgreen,Lyon,Direction Financière,DF,Finance,Finance,DAF,Gilles,Faure,Gilles Faure,P0173,DF173,04/02/1991,0476543210,0755275775,non
Gabriel,Mercier,Gabriel Mercier,GMercier,Pharmgreen,Lyon,Direction Financière,DF,Finance,Finance,Analyste financier,Aurélie,Petit,Aurélie Petit,P0085,DF085,29/06/1987,0412345678,-,non
Justine,Fontaine,Justine Fontaine,JFontaine,Pharmgreen,Lyon,Direction Financière,DF,Finance,Finance,Analyste financier,Aurélie,Petit,Aurélie Petit,P0653,DF653,10/12/1993,0467890123,-,non
Leon,Müller,Leon Müller,LMüller,Pharmgreen,Lyon,Direction Financière,DF,Finance,Finance,Analyste financier,Aurélie,Petit,Aurélie Petit,P0778,DF778,21/03/1990,0476543210,-,non
Morgane,Palaiseau,Morgane Palaiseau,MPalaiseau,Pharmgreen,Lyon,Direction Financière,DF,Finance,Finance,Analyste financier,Aurélie,Petit,Aurélie Petit,P0261,DF261,01/11/1983,0412345678,-,non
Victor,Lemoine,Victor Lemoine,VLemoine,Pharmgreen,Lyon,Direction Financière,DF,Finance,Finance,Analyste financier,Aurélie,Petit,Aurélie Petit,P0593,DF593,11/11/1977,0421098765,-,non
Myriam,Aubert,Myriam Aubert,MAubert,Pharmgreen,Lyon,RH,RH,Formation,Formation,Formateur,Kelly,Arnaud,Kelly Arnaud,P0044,RH044,25/06/1990,0421098765,0731355860,non
Noah,Dumas,Noah Dumas,NDumas,Pharmgreen,Lyon,RH,RH,Formation,Formation,Formateur,Kelly,Arnaud,Kelly Arnaud,P0516,RH516,20/01/1975,0421098765,0681305279,non
Ophélie,Poulin,Ophélie Poulin,OPoulin,Pharmgreen,Lyon,RH,RH,Formation,Formation,Formateur,Kelly,Arnaud,Kelly Arnaud,P0772,RH772,17/05/1980,0445678901,0675781283,non
Emma,Dupont,Emma Dupont,EDupont,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,Grands Comptes,GC,Commercial,Mélanie,Lefebvre,Mélanie Lefebvre,P0460,SALES460,18/06/1987,0487654321,0710917834,oui
Lucas,Martin,Lucas Martin,LMartin,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,Grands Comptes,GC,Commercial,Mélanie,Lefebvre,Mélanie Lefebvre,P0033,SALES033,09/08/1986,0467890123,0634335136,oui
Mélanie,Lefebvre,Mélanie Lefebvre,MLefebvre,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,Grands Comptes,GC,Responsable Grands Comptes,Sarah,Durand,Sarah Durand,P0628,SALES628,06/12/1973,0456789012,0779466973,oui
Olivia,Garcia,Olivia Garcia,OGarcia,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,Grands Comptes,GC,Commercial,Mélanie,Lefebvre,Mélanie Lefebvre,P0709,SALES709,03/01/1976,0456789012,0723385865,oui
Olga,Üt,Olga Üt,OÜt,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,Grands Comptes,GC,Commercial,Mélanie,Lefebvre,Mélanie Lefebvre,P0783,SALES783,22/02/1971,0412345678,0729966375,oui
Arjun,Singh,Arjun Singh,ASingh,Pharmgreen,Lyon,Services Généraux,GENE,Gestion Immobilière,Immo,Gestionnaire immobilier,Julien,Marie,Julien Marie,P0293,GENE293,23/07/1982,0456789012,-,non
Elena,Ivanova,Elena Ivanova,EIvanova,Pharmgreen,Lyon,Services Généraux,GENE,Gestion Immobilière,Immo,Gestionnaire immobilier,Julien,Marie,Julien Marie,P0616,GENE616,09/12/1992,0445678901,-,non
Aisha,Abdullah,Aisha Abdullah,AAbdullah,Pharmgreen,Lyon,R&D,RD,Innovation et Stratégie,Innov,Chercheur,Sofia,Rodriguez,Sofia Rodriguez,P0820,RD820,09/10/1983,0476543210,-,non
Ahmed,Khalid,Ahmed Khalid,AKhalid,Pharmgreen,Lyon,R&D,RD,Innovation et Stratégie,Innov,Chercheur,Sofia,Rodriguez,Sofia Rodriguez,P0815,RD815,11/08/1990,0421098765,-,non
Aya,Patel,Aya Patel,APatel,Pharmgreen,Lyon,R&D,RD,Innovation et Stratégie,Innov,Chercheur,Sofia,Rodriguez,Sofia Rodriguez,P0195,RD195,28/08/1974,0434567890,-,non
Chang,Li,Chang Li,CLi,Pharmgreen,Lyon,R&D,RD,Innovation et Stratégie,Innov,Chercheur,Sofia,Rodriguez,Sofia Rodriguez,P0819,RD819,26/05/1977,0434567890,-,non
Ibrahim,Lebn',Ibrahim Lebn',ILebn',Pharmgreen,Lyon,R&D,RD,Innovation et Stratégie,Innov,Chercheur,Sofia,Rodriguez,Sofia Rodriguez,P0812,RD812,30/06/1973,0434567890,-,non
Ivan,Petrov,Ivan Petrov,IPetrov,Pharmgreen,Lyon,R&D,RD,Innovation et Stratégie,Innov,Chercheur,Sofia,Rodriguez,Sofia Rodriguez,P0235,RD235,26/07/1973,0487654321,-,non
Ines,Rex,Ines Rex,IRex,Pharmgreen,Lyon,R&D,RD,Innovation et Stratégie,Innov,Chercheur,Sofia,Rodriguez,Sofia Rodriguez,P0790,RD790,15/04/1982,0487654321,-,non
Jean-pierre,Gadere,Jean-pierre Gadere,JGadere,Pharmgreen,Lyon,R&D,RD,Innovation et Stratégie,Innov,Chercheur,Sofia,Rodriguez,Sofia Rodriguez,P0801,RD801,07/11/1988,0412345678,-,non
Juan,Hernandez,Juan Hernandez,JHernandez,Pharmgreen,Lyon,R&D,RD,Innovation et Stratégie,Innov,Chercheur,Sofia,Rodriguez,Sofia Rodriguez,P0830,RD830,20/11/1987,0412345678,-,non
Jamal,Nkrumah,Jamal Nkrumah,JNkrumah,Pharmgreen,Lyon,R&D,RD,Innovation et Stratégie,Innov,Chercheur,Sofia,Rodriguez,Sofia Rodriguez,P0821,RD821,14/02/1992,0423456789,-,non
Katya,Ivanov,Katya Ivanov,KIvanov,Pharmgreen,Lyon,R&D,RD,Innovation et Stratégie,Innov,Chercheur,Sofia,Rodriguez,Sofia Rodriguez,P0832,RD832,05/07/1979,0434567890,-,non
Liam,O'Connor,Liam O'Connor,LO'Connor,Pharmgreen,Lyon,R&D,RD,Innovation et Stratégie,Innov,Chercheur,Sofia,Rodriguez,Sofia Rodriguez,P0370,RD370,28/05/1979,0440987654,-,non
Maria,Garcia,Maria Garcia,MGarcia,Pharmgreen,Lyon,R&D,RD,Innovation et Stratégie,Innov,Chercheur,Sofia,Rodriguez,Sofia Rodriguez,P0814,RD814,02/03/1971,0412345678,-,non
Mia,Nguyen,Mia Nguyen,MNguyen,Pharmgreen,Lyon,R&D,RD,Innovation et Stratégie,Innov,Chercheur,Sofia,Rodriguez,Sofia Rodriguez,P0667,RD667,30/12/1978,0432109876,-,non
Natasha,Lereculey,Natasha Lereculey,NLereculey,Pharmgreen,Lyon,R&D,RD,Innovation et Stratégie,Innov,Chercheur,Sofia,Rodriguez,Sofia Rodriguez,P0791,RD791,23/09/1975,0421098765,-,non
Paul,Perrin,Paul Perrin,PPerrin,Pharmgreen,Lyon,R&D,RD,Innovation et Stratégie,Innov,Chercheur,Sofia,Rodriguez,Sofia Rodriguez,P0071,RD071,24/01/1971,0434567890,-,non
Soffia,Itsch,Soffia Itsch,SItsch,Pharmgreen,Lyon,R&D,RD,Innovation et Stratégie,Innov,Chercheur,Sofia,Rodriguez,Sofia Rodriguez,P0813,RD813,18/12/1985,0476543210,-,non
Sofia,Rodriguez,Sofia Rodriguez,SRodriguez,Pharmgreen,Lyon,R&D,RD,Innovation et Stratégie,Innov,Responsable Recherche,Gilles,Faure,Gilles Faure,P0467,RD467,07/03/1994,0456789012,0667856189,non
Victoria,Perrot,Victoria Perrot,VPerrot,Pharmgreen,Lyon,R&D,RD,Innovation et Stratégie,Innov,Chercheur,Sofia,Rodriguez,Sofia Rodriguez,P0341,RD341,28/02/1972,0467890123,-,non
Willy,Le Roux,Willy Le Roux,WLe Roux,Pharmgreen,Lyon,R&D,RD,Innovation et Stratégie,Innov,Chercheur,Sofia,Rodriguez,Sofia Rodriguez,P0162,RD162,12/12/1997,0423456789,-,non
Xander,Bailly,Xander Bailly,XBailly,Pharmgreen,Lyon,R&D,RD,Innovation et Stratégie,Innov,Chercheur,Sofia,Rodriguez,Sofia Rodriguez,P0141,RD141,31/07/1997,0476543210,-,non
Youssef,El Amrani,Youssef El Amrani,YEl Amrani,Pharmgreen,Lyon,R&D,RD,Innovation et Stratégie,Innov,Chercheur,Sofia,Rodriguez,Sofia Rodriguez,P0776,RD776,12/12/1977,0445678901,-,non
Yolande,Gros,Yolande Gros,YGros,Pharmgreen,Lyon,R&D,RD,Innovation et Stratégie,Innov,Chercheur,Sofia,Rodriguez,Sofia Rodriguez,P0269,RD269,25/09/1980,0421098765,-,non
Ziad,Prevost,Ziad Prevost,ZPrevost,Pharmgreen,Lyon,R&D,RD,Innovation et Stratégie,Innov,Chercheur,Sofia,Rodriguez,Sofia Rodriguez,P0788,RD788,16/07/1999,0412345678,-,non
Alice,Moreau,Alice Moreau,AMoreau,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,Développement internationnal,International,Commercial,Sarah,Durand,Sarah Durand,P0710,SALES710,14/03/1976,0432109876,0737563611,oui
Chloé,Bernard,Chloé Bernard,CBernard,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,Développement internationnal,International,Commercial,Sarah,Durand,Sarah Durand,P0042,SALES042,05/02/1988,0456789012,0631423219,oui
Hugo,Leroy,Hugo Leroy,HLeroy,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,Développement internationnal,International,Commercial,Sarah,Durand,Sarah Durand,P0194,SALES194,21/10/1995,0421098765,0799311104,oui
Maxime,Petit,Maxime Petit,MPetit,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,Développement internationnal,International,Commercial,Sarah,Durand,Sarah Durand,P0260,SALES260,14/07/1980,0434567890,0724827047,oui
Sarah,Durand,Sarah Durand,SDurand,Pharmgreen,Lyon,Ventes et Développement Commercial,SALES,Développement internationnal,International,Directrice Commercial,Gilles,Faure,Gilles Faure,P0362,SALES362,27/06/1973,0476543210,0744720692,oui
Alejandro,Gomez,Alejandro Gomez,AGomez,Pharmgreen,Lyon,R&D,RD,Laboratoire,Lab,Laborantin,Nora,Al-Hassan,Nora Al-Hassan,P0245,RD245,30/12/1995,0445678901,-,non
Kai,Chen,Kai Chen,KChen,Pharmgreen,Lyon,R&D,RD,Laboratoire,Lab,Laborantin,Nora,Al-Hassan,Nora Al-Hassan,P0359,RD359,30/12/1979,0456789012,-,non
Leila,Da Silva,Leila Da Silva,LDa Silva,Pharmgreen,Lyon,R&D,RD,Laboratoire,Lab,Laborantin,Nora,Al-Hassan,Nora Al-Hassan,P0360,RD360,18/06/1986,0476543210,-,non
Nora,Al-Hassan,Nora Al-Hassan,NAl-Hassan,Pharmgreen,Lyon,R&D,RD,Laboratoire,Lab,Responsable Laboratoire,Sofia,Rodriguez,Sofia Rodriguez,P0047,RD047,24/01/1987,0412345678,0694122527,non
Nina,Kovačević,Nina Kovačević,NKovačević,Pharmgreen,Lyon,R&D,RD,Laboratoire,Lab,Laborantin,Nora,Al-Hassan,Nora Al-Hassan,P0216,RD216,20/04/1990,0412345678,-,non
Amelia,Smith,Amelia Smith,ASmith,Pharmgreen,Lyon,Services Généraux,GENE,Logistique,Logistique,Agent logistique,Julien,Marie,Julien Marie,P0454,GENE454,17/12/1970,0456789012,0686930017,non
Baptiste,Gros,Baptiste Gros,BGros,Pharmgreen,Lyon,Services Généraux,GENE,Logistique,Logistique,Agent logistique,Julien,Marie,Julien Marie,P0680,GENE680,02/10/1989,0412345678,0764635179,non
Charlotte,Prevost,Charlotte Prevost,CPrevost,Pharmgreen,Lyon,Services Généraux,GENE,Logistique,Logistique,Agent logistique,Julien,Marie,Julien Marie,P0039,GENE039,08/03/1970,0421098765,0702281809,non
Hiroto,Takahashi,Hiroto Takahashi,HTakahashi,Pharmgreen,Lyon,Services Généraux,GENE,Logistique,Logistique,Agent logistique,Julien,Marie,Julien Marie,P0711,GENE711,31/08/1975,0487654321,0603807402,non
Isabella,Da Silva,Isabella Da Silva,IDa Silva,Pharmgreen,Lyon,Services Généraux,GENE,Logistique,Logistique,Agent logistique,Julien,Marie,Julien Marie,P0367,GENE367,05/11/1976,0440987654,0766638327,non
Julien,Marie,Julien Marie,JMarie,Pharmgreen,Lyon,Services Généraux,GENE,Logistique,Logistique,Responsable Logistique,Aurélie,Petit,Aurélie Petit,P0308,GENE308,11/09/1992,0476543210,0725806448,non
Jérôme,Perrot,Jérôme Perrot,JPerrot,Pharmgreen,Lyon,Services Généraux,GENE,Logistique,Logistique,Agent logistique,Julien,Marie,Julien Marie,P0728,GENE728,17/11/1980,0421098765,0734782819,non
Mohamed,Al-Amin,Mohamed Al-Amin,MAl-Amin,Pharmgreen,Lyon,Services Généraux,GENE,Logistique,Logistique,Agent logistique,Julien,Marie,Julien Marie,P0096,GENE096,29/11/1998,0467890123,0604266370,non
Nathan,Le Roux,Nathan Le Roux,NLe Roux,Pharmgreen,Lyon,Services Généraux,GENE,Logistique,Logistique,Agent logistique,Julien,Marie,Julien Marie,P0745,GENE745,02/10/1989,0412345678,0630771729,non
Noémie,Lerocher,Noémie Lerocher,NLerocher,Pharmgreen,Lyon,Services Généraux,GENE,Logistique,Logistique,Agent logistique,Julien,Marie,Julien Marie,P0558,GENE558,01/04/1999,0432109876,0698121096,non
Charles,Fernandez,Charles Fernandez,CFernandez,Pharmgreen,Lyon,Direction Marketing,DM,Marketing Opérationnel,Operationel,Chargé de promotion,Justine,Gallet,Justine Gallet,P0043,DM043,26/07/1972,0423456789,0632850032,non
